Date_reported,Country,WHO_region,Cumulative_cases,Population,Cases per Capita
2020-01-05,Solomon Islands,WPRO,0,721159.0,0.0340770897957316
2020-01-05,Aruba,AMRO,0,107609.0,0.4088226821176667
2020-01-05,South Africa,AFRO,0,60756135.0,0.0667581306809592
2020-01-05,South Sudan,AFRO,0,11618511.0,0.0015809254731522
2020-01-05,Spain,EURO,0,46719142.0,0.293915457608361
2020-01-05,Armenia,EURO,0,2971966.0,0.1500717033774949
2020-01-05,Sri Lanka,SEARO,0,21575842.0,0.0311454357146293
2020-01-05,Sudan,EMRO,0,45992020.0,0.001385936081955
2020-01-05,Suriname,AMRO,0,596831.0,0.137425837464877
2020-01-05,Argentina,AMRO,0,46010234.0,0.2181500533120522
2020-01-05,Somalia,EMRO,0,16841795.0,0.0016220361309468
2020-01-05,Botswana,AFRO,0,2441162.0,0.1348648717291191
2020-01-05,Mongolia,WPRO,0,3378078.0,0.2983563434592096
2020-01-05,Monaco,EURO,0,39783.0,0.4035894728904305
2020-01-05,Germany,EURO,1,83883596.0,0.4503840417141869
2020-01-05,Cook Islands,WPRO,0,17571.0,0.3990097319446816
2020-01-05,Ghana,AFRO,0,32395450.0,0.0052819763269224
2020-01-05,Greece,EURO,0,10316637.0,0.5533102502297987
2020-01-05,Congo,AFRO,0,5797805.0,0.0043766563380451
2020-01-05,Greenland,EURO,0,56973.0,0.2101170729994909
2020-01-05,Grenada,AMRO,0,113475.0,0.1734302709847984
2020-01-05,Comoros,AFRO,0,907419.0,0.0099094244224553
2020-01-05,Guatemala,AMRO,0,18584039.0,0.0660702982812293
2020-01-05,Guinea,AFRO,0,13865691.0,0.0027578863541672
2020-01-05,Guinea-Bissau,AFRO,0,2063367.0,0.0043361166481774
2020-01-05,Colombia,AMRO,0,51512762.0,0.1233928982491756
2020-01-05,Guyana,AMRO,0,794045.0,0.0918713674917668
2020-01-05,Haiti,AMRO,0,11680283.0,0.0029173950665407
2020-01-05,Honduras,AMRO,0,10221247.0,0.0460567091275653
2020-01-05,Hungary,EURO,0,9606259.0,0.2282310939149152
2020-01-05,Georgia,EURO,0,3968738.0,0.4571176026233024
2020-01-05,Gambia,AFRO,0,2558482.0,0.0049193232549613
2020-01-05,Costa Rica,AMRO,0,5182354.0,0.2288874901251439
2020-01-05,Gabon,AFRO,0,2331533.0,0.0210080663666351
2020-01-05,Dominica,AMRO,0,72344.0,0.2178480592723653
2020-01-05,Denmark,EURO,0,5834950.0,0.5438344801583561
2020-01-05,Dominican Republic,AMRO,0,11056370.0,0.0597026872291719
2020-01-05,Ecuador,AMRO,0,18113361.0,0.0580366614456588
2020-01-05,Egypt,EMRO,0,106156692.0,0.0048573951418908
2020-01-05,Czechia,EURO,0,10736784.0,0.427504083159352
2020-01-05,El Salvador,AMRO,0,6550389.0,0.0308050407388019
2020-01-05,Equatorial Guinea,AFRO,0,1496662.0,0.0114855591977346
2020-01-05,Eritrea,AFRO,0,3662244.0,0.0027821739894993
2020-01-05,Iceland,EURO,0,345393.0,0.6042044859044624
2020-01-05,Cyprus,EURO,0,1223387.0,0.5253145570453176
2020-01-05,Eswatini,AFRO,0,1184817.0,0.0625691562494461
2020-01-05,Ethiopia,AFRO,0,120812698.0,0.0041347557688017
2020-01-05,Cuba,AMRO,0,11305652.0,0.0983966249801426
2020-01-05,Fiji,WPRO,0,909466.0,0.0756707782368994
2020-01-05,Finland,EURO,0,5554960.0,0.2625795685297464
2020-01-05,France,EURO,0,65584518.0,0.6026469692130695
2020-01-05,Croatia,EURO,0,4059286.0,0.3122667385348063
2020-01-05,French Polynesia,WPRO,0,284164.0,0.2743380583043595
2020-01-05,Estonia,EURO,0,1321910.0,0.4643969710494663
2020-01-05,India,SEARO,0,1406631776.0,0.0317658002345597
2020-01-05,Chile,AMRO,0,19250195.0,0.2659183971902622
2020-01-05,Indonesia,SEARO,0,279134505.0,0.0241112756733532
2020-01-05,Lithuania,EURO,0,2661708.0,0.487230379891408
2020-01-05,Burundi,AFRO,0,12624840.0,0.0042370437961986
2020-01-05,Luxembourg,EURO,0,642371.0,0.4635280857946576
2020-01-05,Madagascar,AFRO,0,29178077.0,0.0023245877375674
2020-01-05,Malawi,AFRO,0,20180839.0,0.0043882714687927
2020-01-05,Burkina Faso,AFRO,0,22102838.0,0.0009964783707865
2020-01-05,Malaysia,WPRO,0,33181072.0,0.1517911476760003
2020-01-05,Maldives,SEARO,0,540985.0,0.3432904794033106
2020-01-05,Libya,EMRO,0,7040745.0,0.0720324340677016
2020-01-05,Mali,AFRO,0,21473764.0,0.0015266536411595
2020-01-05,Malta,EURO,0,444033.0,0.2636335587670286
2020-01-05,Marshall Islands,WPRO,0,60057.0,0.2594868208535225
2020-01-05,British Virgin Islands,AMRO,0,30596.0,0.2387567002222512
2020-01-05,Mauritania,AFRO,0,4901981.0,0.012987606439111
2020-01-05,Mauritius,AFRO,0,1274727.0,0.032675231637833
2020-01-05,Brazil,AMRO,0,215353593.0,0.170995893251709
2020-01-05,Mexico,AMRO,0,131562772.0,0.056005600125239
2020-01-05,Bulgaria,EURO,0,6844597.0,0.1892625672482981
2020-01-05,Yemen,EMRO,0,31154867.0,0.0003834071896374
2020-01-05,Cabo Verde,AFRO,0,567678.0,0.1113818044736628
2020-01-05,Lesotho,AFRO,0,2175699.0,0.01599026335904
2020-01-05,Iraq,EMRO,0,42164965.0,0.0584737826771586
2020-01-05,Ireland,EURO,0,5020199.0,0.3386823908773337
2020-01-05,Chad,AFRO,0,17413580.0,0.0004394271597224
2020-01-05,Israel,EURO,0,9326000.0,0.5132092000857816
2020-01-05,Italy,EURO,0,60262770.0,0.4223800034415942
2020-01-05,Cayman Islands,AMRO,0,67277.0,0.4677973155759026
2020-01-05,Jamaica,AMRO,0,2985094.0,0.0513910114723355
2020-01-05,Japan,WPRO,0,125584838.0,0.2594934429903074
2020-01-05,Liberia,AFRO,0,5305117.0,0.0015196648820374
2020-01-05,Jordan,EMRO,0,10300869.0,0.1695970505012732
2020-01-05,Kazakhstan,EURO,0,19205043.0,0.0732056158374652
2020-01-05,Kenya,AFRO,0,56215221.0,0.0060981704581397
2020-01-05,Kiribati,WPRO,0,123419.0,0.0405772206872523
2020-01-05,Cameroon,AFRO,0,27911548.0,0.0044423548274714
2020-01-05,Kuwait,EMRO,0,4380326.0,0.1513261798322773
2020-01-05,Kyrgyzstan,EURO,0,6728271.0,0.0307050652389001
2020-01-05,Latvia,EURO,0,1848837.0,0.5275505628673594
2020-01-05,Cambodia,WPRO,0,17168639.0,0.008078275744513
2020-01-05,Lebanon,EMRO,0,6684849.0,0.1837945778580787
2020-01-05,Canada,AMRO,0,38388419.0,0.1185319978923852
2020-01-05,Zambia,AFRO,0,19470234.0,0.0175017413760923
2020-01-05,Djibouti,EMRO,0,1016097.0,0.015441439153939
2020-01-05,Zimbabwe,AFRO,0,15331428.0,0.0170633811801483
2020-01-12,Japan,WPRO,0,125584838.0,0.2594934429903074
